continent,location,date,population,new_cases,new_vaccinations,total_vaccinations,RollingPeopleInfected,RollingPeopleVaccinated,percent_infected,percent_vaccinated
Europe,Latvia,2021-01-26,1886202,693,848,20593,61924,18632,3.28,0.99
Europe,Latvia,2021-01-27,1886202,1103,818,21411,63027,19450,3.34,1.03
Europe,Latvia,2021-01-28,1886202,965,781,22192,63992,20231,3.39,1.07
Europe,Latvia,2021-01-29,1886202,931,962,23154,64923,21193,3.44,1.12
Europe,Latvia,2021-01-30,1886202,785,308,23462,65708,21501,3.48,1.14
Europe,Latvia,2021-01-31,1886202,533,334,23796,66241,21835,3.51,1.16
Europe,Latvia,2021-02-01,1886202,411,1187,24983,66652,23022,3.53,1.22
Europe,Latvia,2021-02-02,1886202,775,1811,26794,67427,24833,3.57,1.32
Europe,Latvia,2021-02-03,1886202,1231,1622,28416,68658,26455,3.64,1.4
Europe,Latvia,2021-02-04,1886202,742,1503,29919,69400,27958,3.68,1.48
Europe,Latvia,2021-02-05,1886202,876,1668,31587,70276,29626,3.73,1.57
Europe,Latvia,2021-02-06,1886202,1044,567,32154,71320,30193,3.78,1.6
Europe,Latvia,2021-02-07,1886202,480,125,32279,71800,30318,3.81,1.61
Europe,Latvia,2021-02-08,1886202,288,411,32690,72088,30729,3.82,1.63
Europe,Latvia,2021-02-09,1886202,781,184,32874,72869,30913,3.86,1.64
Europe,Latvia,2021-02-10,1886202,990,628,33502,73859,31541,3.92,1.67
Europe,Latvia,2021-02-11,1886202,842,1784,35286,74701,33325,3.96,1.77
Europe,Latvia,2021-02-12,1886202,808,1729,37015,75509,35054,4.0,1.86
Europe,Latvia,2021-02-13,1886202,773,401,37416,76282,35455,4.04,1.88
Europe,Latvia,2021-02-14,1886202,424,21,37437,76706,35476,4.07,1.88
Europe,Latvia,2021-02-15,1886202,278,874,38311,76984,36350,4.08,1.93
Europe,Latvia,2021-02-16,1886202,713,1381,39692,77697,37731,4.12,2.0
Europe,Latvia,2021-02-17,1886202,946,1993,41685,78643,39724,4.17,2.11
Europe,Latvia,2021-02-18,1886202,708,1548,43233,79351,41272,4.21,2.19
Europe,Latvia,2021-02-19,1886202,689,1351,44584,80040,42623,4.24,2.26
Europe,Latvia,2021-02-20,1886202,1069,771,45355,81109,43394,4.3,2.3
Europe,Latvia,2021-02-21,1886202,410,808,46163,81519,44202,4.32,2.34
Europe,Latvia,2021-02-22,1886202,274,1785,47948,81793,45987,4.34,2.44
Europe,Latvia,2021-02-23,1886202,669,2382,50330,82462,48369,4.37,2.56
